instrument,month,class,strict_viol,same_second_viol,exception_viol,cohort_size,nonviol_in_cohort,corrected_rows,noncohort_rows_with_absorbed_events,max_ts_event_minus_T_outside_cohort_ns
es,2025-12,trades_buy,0,0,0,6,6,620107,0,
es,2025-12,trades_sell,0,0,0,6,6,620107,499079,-9722
es,2025-12,trades_large,0,0,0,6,6,620107,211195,-14708
es,2025-12,mbo_all,0,0,0,6,6,620107,613447,-9412
es,2025-12,mbo_bid_add,0,0,0,6,6,620107,598924,-9772
es,2025-12,mbo_ask_add,0,0,0,6,6,620107,599032,-9486
es,2025-12,mbo_bid_cancel,0,0,0,6,6,620107,597647,-9424
es,2025-12,mbo_ask_cancel,0,0,0,6,6,620107,598265,-9412
es,2025-12,mbo_cancel_any,0,0,0,6,6,620107,608899,-9412
es,2025-12,mbo_all_rows,0,0,0,6,6,620107,614137,-9412
nq,2025-12,trades_all,0,0,0,6,6,620107,525654,-11036
nq,2025-12,trades_buy,0,0,0,6,6,620107,0,
nq,2025-12,trades_sell,0,0,0,6,6,620107,525654,-11036
nq,2025-12,trades_large,0,0,0,6,6,620107,8088,-237146
cl,2025-12,trades_all,10837,10837,0,67426,56589,768531,199019,-16261
cl,2025-12,trades_buy,0,0,0,67426,67426,768531,0,
cl,2025-12,trades_sell,10837,10837,0,67426,56589,768531,199019,-16261
cl,2025-12,trades_large,1325,1325,0,67426,66101,768531,20690,-41447
cl,2025-12,mbo_all,38945,38945,0,67426,28481,768531,566738,-2451
cl,2025-12,mbo_bid_add,26121,26121,0,67426,41305,768531,434616,-4221
cl,2025-12,mbo_ask_add,25906,25906,0,67426,41520,768531,429099,-5849
cl,2025-12,mbo_bid_cancel,25298,25298,0,67426,42128,768531,422856,-10735
cl,2025-12,mbo_ask_cancel,25368,25368,0,67426,42058,768531,422150,-2451
cl,2025-12,mbo_cancel_any,31696,31696,0,67426,35730,768531,496892,-2451
gc,2025-12,trades_all,20195,20195,0,71097,50902,772202,386972,-6174252
gc,2025-12,trades_buy,0,0,0,71097,71097,772202,0,
gc,2025-12,trades_sell,20195,20195,0,71097,50902,772202,386972,-6174252
gc,2025-12,trades_large,147,147,0,71097,70950,772202,3106,-15547754
gc,2025-12,mbo_all,49649,49649,0,71097,21448,772202,658342,-1507924
gc,2025-12,mbo_bid_add,40594,40594,0,71097,30503,772202,609857,-1507924
gc,2025-12,mbo_ask_add,40239,40239,0,71097,30858,772202,608497,-4347470
gc,2025-12,mbo_bid_cancel,39294,39294,0,71097,31803,772202,610725,-1797758
gc,2025-12,mbo_ask_cancel,39326,39326,0,71097,31771,772202,611505,-1999884
gc,2025-12,mbo_cancel_any,44674,44674,0,71097,26423,772202,641500,-1797758
gc,2025-12,mbo_all_rows,50580,50580,0,71097,20517,772202,661440,-1507924
zc,2025-12,trades_all,0,0,0,1,1,353103,85086,-17589
zc,2025-12,trades_buy,0,0,0,1,1,353103,0,
zc,2025-12,trades_sell,0,0,0,1,1,353103,85086,-17589
zc,2025-12,trades_large,0,0,0,1,1,353103,17071,-31885
zc,2025-12,mbo_all,0,0,0,1,1,353103,246154,-847
zc,2025-12,mbo_bid_add,0,0,0,1,1,353103,134778,-847
zc,2025-12,mbo_ask_add,0,0,0,1,1,353103,143554,-3429
zc,2025-12,mbo_bid_cancel,0,0,0,1,1,353103,101894,-3341
zc,2025-12,mbo_ask_cancel,0,0,0,1,1,353103,99800,-1567
zc,2025-12,mbo_cancel_any,0,0,0,1,1,353103,147891,-1567
zs,2025-12,trades_all,0,0,0,0,0,353103,69255,-1605
zs,2025-12,trades_buy,0,0,0,0,0,353103,0,
zs,2025-12,trades_sell,0,0,0,0,0,353103,69255,-1605
zs,2025-12,trades_large,0,0,0,0,0,353103,15723,-26971
zs,2025-12,mbo_all,0,0,0,0,0,353103,254477,-115
zs,2025-12,mbo_bid_add,0,0,0,0,0,353103,159152,-1511
zs,2025-12,mbo_ask_add,0,0,0,0,0,353103,164522,-549
zs,2025-12,mbo_bid_cancel,0,0,0,0,0,353103,143822,-459
zs,2025-12,mbo_ask_cancel,0,0,0,0,0,353103,137603,-115
zs,2025-12,mbo_cancel_any,0,0,0,0,0,353103,187331,-115
he,2025-12,trades_all,0,0,0,1,1,353682,43657,-1243
he,2025-12,trades_buy,0,0,0,1,1,353682,0,
he,2025-12,trades_sell,0,0,0,1,1,353682,43657,-1243
he,2025-12,trades_large,0,0,0,1,1,353682,2588,-54849
he,2025-12,mbo_all,0,0,0,1,1,353682,150095,-429
he,2025-12,mbo_bid_add,0,0,0,1,1,353682,80470,-429
he,2025-12,mbo_ask_add,0,0,0,1,1,353682,74921,-1319
he,2025-12,mbo_bid_cancel,0,0,0,1,1,353682,68083,-1243
he,2025-12,mbo_ask_cancel,0,0,0,1,1,353682,68253,-12353
he,2025-12,mbo_cancel_any,0,0,0,1,1,353682,97301,-1243
le,2025-12,trades_all,0,0,0,1,1,353689,61061,-2081
le,2025-12,trades_buy,0,0,0,1,1,353689,0,
le,2025-12,trades_sell,0,0,0,1,1,353689,61061,-2081
le,2025-12,trades_large,0,0,0,1,1,353689,938,-1561619
le,2025-12,mbo_all,0,0,0,1,1,353689,170061,-75
le,2025-12,mbo_bid_add,0,0,0,1,1,353689,101878,-6011
le,2025-12,mbo_ask_add,0,0,0,1,1,353689,98180,-75
le,2025-12,mbo_bid_cancel,0,0,0,1,1,353689,95464,-2403
le,2025-12,mbo_ask_cancel,0,0,0,1,1,353689,95690,-1453
le,2025-12,mbo_cancel_any,0,0,0,1,1,353689,126739,-1453
